target_type,flow_type,scenario_type,device_type,platform_name,task_completed,task_failed,completion_time,click_count,scroll_count,keyboard_count,retry_count,error_count,failed_clicks,unnecessary_clicks,path_deviation_score,app_launch_time_ms,screen_load_time_ms,feedback_delay_ms,interaction_response_time_ms,finish_time_ms,error_message_present,error_message_clarity,popup_detected,overlay_blocks_action,timeout_occurred,crash_detected,anr_detected,friction_level_prediction,run_index
android_app,login,good,android_emulator,Android,1,0,9.5272,2,0,2,0,0,0,0,0,26730,608,3957,3957,9527,0,none,0,0,0,0,0,,1
android_app,login,medium,android_emulator,Android,1,0,12.227,3,0,2,0,0,0,0,0,26730,1627,4653,4653,12227,0,none,1,1,0,0,0,,1
android_app,login,bad,android_emulator,Android,0,1,12.7374,2,0,1,1,1,0,0,0,26730,2598,5940,5940,12737,1,vague,0,0,1,0,0,,1
android_app,signup,good,android_emulator,Android,1,0,8.1976,2,0,2,0,0,0,0,0,26730,609,3467,3467,8197,0,none,0,0,0,0,0,,1
android_app,signup,medium,android_emulator,Android,0,1,10.7346,2,0,2,0,1,0,0,0,26730,1610,5040,5040,10734,1,clear,0,0,0,0,0,,1
android_app,signup,bad,android_emulator,Android,0,1,13.804,2,0,2,0,1,0,0,0,26730,2614,7520,7520,13803,1,medium,0,0,0,0,0,,1
android_app,search,good,android_emulator,Android,1,0,7.47,2,0,1,0,0,0,0,0,26730,597,2470,2470,7469,0,none,0,0,0,0,0,,1
android_app,search,medium,android_emulator,Android,1,0,10.6257,3,0,1,0,0,0,0,0,26730,1756,3485,3485,10625,0,none,1,1,0,0,0,,1
android_app,search,bad,android_emulator,Android,0,1,12.9779,2,0,1,0,1,0,0,1,26730,2633,5999,5999,12977,1,vague,0,0,0,0,0,,1
android_app,button_click,good,android_emulator,Android,1,0,5.4414,2,0,0,0,0,0,0,0,26730,604,813,813,5441,0,none,0,0,0,0,0,,1
android_app,button_click,medium,android_emulator,Android,1,0,7.3801,2,0,0,0,0,0,0,0,26730,1610,1898,1898,7380,0,none,0,0,0,0,0,,1
android_app,button_click,bad,android_emulator,Android,1,0,12.9782,4,1,0,0,1,0,0,0,26730,2622,6901,6901,12978,1,medium,0,0,1,0,1,,1
android_app,form_submit,good,android_emulator,Android,1,0,8.6975,2,0,2,0,0,0,0,0,26730,595,3950,3950,8697,0,none,0,0,0,0,0,,1
android_app,form_submit,medium,android_emulator,Android,0,1,8.8709,2,0,1,1,1,0,0,0,26730,1595,3542,3542,8870,1,clear,0,0,0,0,0,,1
android_app,form_submit,bad,android_emulator,Android,0,1,11.5125,2,0,0,1,1,0,0,0,26730,2608,5517,5517,11512,1,vague,0,0,1,0,0,,1
android_app,login,good,android_emulator,Android,1,0,7.4945,2,0,2,0,0,0,0,0,5768,607,3929,3929,7494,0,none,0,0,0,0,0,,2
android_app,login,medium,android_emulator,Android,1,0,11.7803,3,0,2,0,0,0,0,0,5768,1607,5109,5109,11780,0,none,1,1,0,0,0,,2
android_app,login,bad,android_emulator,Android,0,1,13.1909,2,0,1,1,1,0,0,0,5768,2606,6463,6463,13190,1,vague,0,0,1,0,0,,2
android_app,signup,good,android_emulator,Android,1,0,9.1831,2,0,2,0,0,0,0,0,5768,604,3929,3929,9183,0,none,0,0,0,0,0,,2
android_app,signup,medium,android_emulator,Android,0,1,10.5215,2,0,2,0,1,0,0,0,5768,1605,5042,5042,10521,1,clear,0,0,0,0,0,,2
android_app,signup,bad,android_emulator,Android,0,1,14.0946,2,0,2,0,1,0,0,0,5768,2604,7769,7769,14094,1,medium,0,0,0,0,0,,2
android_app,search,good,android_emulator,Android,1,0,6.8657,2,0,1,0,0,0,0,0,5768,597,2413,2413,6865,0,none,0,0,0,0,0,,2
android_app,search,medium,android_emulator,Android,1,0,10.5792,3,0,1,0,0,0,0,0,5768,1628,3919,3919,10579,0,none,1,1,0,0,0,,2
android_app,search,bad,android_emulator,Android,0,1,12.3713,2,0,1,0,1,0,0,1,5768,2603,5975,5975,12371,1,vague,0,0,0,0,0,,2
android_app,button_click,good,android_emulator,Android,1,0,5.2538,2,0,0,0,0,0,0,0,5768,611,797,797,5253,0,none,0,0,0,0,0,,2
android_app,button_click,medium,android_emulator,Android,1,0,7.343,2,0,0,0,0,0,0,0,5768,1603,1394,1394,7343,0,none,0,0,0,0,0,,2
android_app,button_click,bad,android_emulator,Android,1,0,12.8148,4,1,0,0,1,0,0,0,5768,2611,6448,6448,12814,1,medium,0,0,1,0,1,,2
android_app,form_submit,good,android_emulator,Android,1,0,8.9247,2,0,2,0,0,0,0,0,5768,604,3931,3931,8924,0,none,0,0,0,0,0,,2
android_app,form_submit,medium,android_emulator,Android,0,1,9.1626,2,0,1,1,1,0,0,0,5768,1606,3559,3559,9162,1,clear,0,0,0,0,0,,2
android_app,form_submit,bad,android_emulator,Android,0,1,12.0495,2,0,0,1,1,0,0,0,5768,2607,5998,5998,12049,1,vague,0,0,1,0,0,,2
android_app,login,good,android_emulator,Android,1,0,7.5492,2,0,2,0,0,0,0,0,5626,604,3933,3933,7549,0,none,0,0,0,0,0,,3
android_app,login,medium,android_emulator,Android,1,0,11.4825,3,0,2,0,0,0,0,0,5626,1604,4779,4779,11482,0,none,1,1,0,0,0,,3
android_app,login,bad,android_emulator,Android,0,1,12.1439,2,0,1,1,1,0,0,0,5626,2608,5994,5994,12143,1,vague,0,0,1,0,0,,3
android_app,signup,good,android_emulator,Android,1,0,9.017,2,0,2,0,0,0,0,0,5626,603,4360,4360,9017,0,none,0,0,0,0,0,,3
android_app,signup,medium,android_emulator,Android,0,1,10.4877,2,0,2,0,1,0,0,0,5626,1593,5043,5043,10487,1,clear,0,0,0,0,0,,3
android_app,signup,bad,android_emulator,Android,0,1,14.3914,2,0,2,0,1,0,0,0,5626,2607,7522,7522,14391,1,medium,0,0,0,0,0,,3
android_app,search,good,android_emulator,Android,1,0,7.0623,2,0,1,0,0,0,0,0,5626,610,2386,2386,7062,0,none,0,0,0,0,0,,3
android_app,search,medium,android_emulator,Android,1,0,9.8798,3,0,1,0,0,0,0,0,5626,1600,3079,3079,9879,0,none,1,1,0,0,0,,3
android_app,search,bad,android_emulator,Android,0,1,12.4452,2,0,1,0,1,0,0,1,5626,2607,5980,5980,12445,1,vague,0,0,0,0,0,,3
android_app,button_click,good,android_emulator,Android,1,0,5.6045,2,0,0,0,0,0,0,0,5626,602,810,810,5604,0,none,0,0,0,0,0,,3
android_app,button_click,medium,android_emulator,Android,0,1,3.3593,0,0,0,0,1,0,0,0,5626,0,0,0,3359,0,none,0,0,0,1,0,,3
android_app,button_click,bad,android_emulator,Android,1,0,15.1885,4,1,0,0,1,0,0,0,5626,2606,7032,7032,15188,1,medium,0,0,1,0,1,,3
android_app,form_submit,good,android_emulator,Android,1,0,12.3053,2,0,2,0,0,0,0,0,5626,625,4526,4526,12305,0,none,0,0,0,0,0,,3
android_app,form_submit,medium,android_emulator,Android,0,1,10.3479,2,0,1,1,1,0,0,0,5626,1724,4160,4160,10347,1,clear,0,0,0,0,0,,3
android_app,form_submit,bad,android_emulator,Android,0,1,12.8317,2,0,0,1,1,0,0,0,5626,2613,6057,6057,12831,1,vague,0,0,1,0,0,,3
